YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,9,3,98.38,3.09,4.13,1.78,2.35,115.12,4.2,5.18,3.02,2.16,115.31
2021,9,4,98.61,3.48,5.94,1.48,4.45,103.0,4.57,7.73,1.51,6.23,73.06
2021,9,5,98.92,4.35,5.66,2.61,3.06,45.81,5.8,7.52,4.61,2.91,46.31
2021,9,6,98.93,4.6,5.93,2.63,3.3,33.0,6.17,7.59,4.62,2.98,33.0
2021,9,7,98.95,3.72,5.41,2.21,3.2,86.75,5.55,7.0,3.73,3.27,56.69
2021,9,8,98.73,2.81,5.6,0.62,4.98,154.88,3.96,6.62,0.58,6.05,157.31
2021,9,9,98.55,2.29,4.73,0.36,4.37,177.88,3.16,7.11,0.59,6.52,180.06
2021,9,10,98.65,2.73,4.02,1.55,2.47,211.75,4.2,6.55,1.45,5.09,212.25
2021,9,11,98.51,2.11,3.32,1.21,2.1,188.0,3.14,4.66,1.6,3.06,190.06
2021,9,12,98.5,2.12,3.62,0.2,3.42,276.19,3.37,6.01,0.46,5.55,275.12
2021,9,13,98.92,2.73,4.32,1.59,2.73,179.06,4.16,6.17,2.34,3.84,178.0
2021,9,14,99.06,1.91,2.92,1.3,1.62,117.69,2.8,3.81,1.86,1.95,119.44
2021,9,15,98.68,2.8,4.3,0.77,3.53,66.19,4.0,5.55,1.12,4.43,65.88
2021,9,16,98.93,3.84,5.17,2.1,3.07,43.69,5.57,6.19,4.16,2.02,44.69
2021,9,17,98.83,2.59,4.1,0.91,3.2,108.62,4.17,7.54,0.99,6.55,110.69
2021,9,18,98.06,6.06,9.61,0.27,9.33,183.25,8.38,12.2,0.8,11.4,184.5
2021,9,19,98.56,5.49,7.84,2.28,5.55,152.06,7.58,10.67,3.48,7.2,152.38
2021,9,20,99.0,3.44,4.66,2.45,2.2,106.25,5.04,5.84,4.05,1.8,106.19
2021,9,21,98.91,2.38,3.89,0.28,3.61,104.19,3.41,5.4,0.42,4.98,89.69
2021,9,22,98.46,4.11,6.98,0.32,6.65,225.31,5.58,9.82,0.52,9.3,224.5
